Branch,Card_Number,Prize
Bethlehem,BH231,هدية فورية
Bethlehem,BH232,دورة مهارات الحاسوب
Bethlehem,BH233,خصم 8%
Bethlehem,BH234,جلسة تصوير
Bethlehem,BH235,خصم الأصحاب
Bethlehem,BH236,خصم 5%
Bethlehem,BH237,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH238,جلسة تصوير
Bethlehem,BH239,خصم الأصحاب
Bethlehem,BH240,هدية فورية
Bethlehem,BH241,خصم المسجلين المبكرين 10%
Bethlehem,BH242,دورة مهارات الحاسوب
Bethlehem,BH245,خصم المسجلين المبكرين 10%
Bethlehem,BH247,هدية فورية
Bethlehem,BH249,خصم 8%
Bethlehem,BH250,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH251,2 بسعر 1 للدورات القصيرة
Bethlehem,BH252,سحب على الجائزة الكبرى
Bethlehem,BH253,هدية فورية
Bethlehem,BH254,خصم 5%
Bethlehem,BH255,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH256,خصم المسجلين المبكرين 10%
Bethlehem,BH257,خصم 5%
Bethlehem,BH258,هدية فورية
Bethlehem,BH259,خصم المسجلين المبكرين 10%
Bethlehem,BH260,خصم المسجلين المبكرين 10%
Bethlehem,BH261,خصم 5%
Bethlehem,BH262,خصم 8%
Bethlehem,BH263,دورة مهارات الحاسوب
Bethlehem,BH264,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH265,خصم المسجلين المبكرين 10%
Bethlehem,BH266,هدية فورية
Bethlehem,BH267,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH268,جلسة تصوير
Bethlehem,BH269,خصم المسجلين المبكرين 10%
Bethlehem,BH270,سحب على الجائزة الكبرى
Bethlehem,BH271,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH272,2 بسعر 1 للدورات القصيرة
Bethlehem,BH273,خصم الأصحاب
Bethlehem,BH274,خصم المسجلين المبكرين 10%
Bethlehem,BH275,دورة مهارات الحاسوب
Bethlehem,BH276,خصم 8%
Bethlehem,BH277,جلسة تصوير
Bethlehem,BH279,جلسة تصوير
Bethlehem,BH280,2 بسعر 1 للدورات القصيرة
Bethlehem,BH281,خصم 8%
Bethlehem,BH283,خصم الأصحاب
Bethlehem,BH284,خصم 5%
Bethlehem,BH285,خصم 8%
Bethlehem,BH287,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH288,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH289,خصم المسجلين المبكرين 10%
Bethlehem,BH290,خصم المسجلين المبكرين 10%
Bethlehem,BH291,خصم الأصحاب
Bethlehem,BH292,2 بسعر 1 للدورات القصيرة
Bethlehem,BH293,خصم 5%
Bethlehem,BH294,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH295,خصم 5%
Bethlehem,BH296,خصم الأصحاب
Bethlehem,BH297,خصم الأصحاب
Bethlehem,BH298,2 بسعر 1 للدورات القصيرة
Bethlehem,BH301,خصم 8%
Bethlehem,BH302,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH303,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH304,خصم الأصحاب
Bethlehem,BH306,دورة مهارات الحاسوب
Bethlehem,BH307,دورة مهارات الحاسوب
Bethlehem,BH308,دورة لغة انجليزية
Bethlehem,BH309,2 بسعر 1 للدورات القصيرة
Bethlehem,BH310,جلسة تصوير
Bethlehem,BH313,دورة لغة انجليزية
Bethlehem,BH314,خصم المسجلين المبكرين 10%
Bethlehem,BH315,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH316,دورة لغة انجليزية
Bethlehem,BH317,خصم الأصحاب
Bethlehem,BH318,دورة مهارات الحاسوب
Bethlehem,BH319,خصم المسجلين المبكرين 10%
Bethlehem,BH320,خصم المسجلين المبكرين 10%
Bethlehem,BH321,دورة لغة انجليزية
Bethlehem,BH322,خصم 8%
Bethlehem,BH323,خصم 5%
Bethlehem,BH324,سحب على الجائزة الكبرى
Bethlehem,BH325,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH326,خصم 5%
Bethlehem,BH327,خصم 8%
Bethlehem,BH328,خصم 5%
Bethlehem,BH329,خدمة تجميل
Bethlehem,BH330,2 بسعر 1 للدورات القصيرة
Bethlehem,BH331,سحب على الجائزة الكبرى
Bethlehem,BH332,خصم 5%
Bethlehem,BH333,2 بسعر 1 للدورات القصيرة
Bethlehem,BH334,خصم 5%
Bethlehem,BH335,هدية فورية
Bethlehem,BH336,2 بسعر 1 للدورات القصيرة
Bethlehem,BH337,خصم المسجلين المبكرين 10%
Bethlehem,BH338,2 بسعر 1 للدورات القصيرة
Bethlehem,BH339,جلسة تصوير
Bethlehem,BH340,خصم 5%
Bethlehem,BH341,خصم الأصحاب
Bethlehem,BH343,خصم المسجلين المبكرين 10%
Bethlehem,BH344,خدمة تجميل
Bethlehem,BH345,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH346,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH347,دورة لغة انجليزية
Bethlehem,BH348,2 بسعر 1 للدورات القصيرة
Bethlehem,BH349,دورة لغة انجليزية
Bethlehem,BH350,هدية فورية
Bethlehem,BH351,خدمة تجميل
Bethlehem,BH352,خصم المسجلين المبكرين 10%
Bethlehem,BH353,دورة مهارات الحاسوب
Bethlehem,BH354,خصم المسجلين المبكرين 10%
Bethlehem,BH355,خصم 8%
Bethlehem,BH356,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH357,دورة مهارات الحاسوب
Bethlehem,BH358,خصم 5%
Bethlehem,BH359,خصم 8%
Bethlehem,BH360,خصم الأصحاب
Bethlehem,BH361,خصم الأصحاب
Bethlehem,BH362,خصم الأصحاب
Bethlehem,BH363,سحب على الجائزة الكبرى
Bethlehem,BH364,خصم 5%
Bethlehem,BH365,سحب على الجائزة الكبرى
Bethlehem,BH366,سحب على الجائزة الكبرى
Bethlehem,BH367,2 بسعر 1 للدورات القصيرة
Bethlehem,BH368,2 بسعر 1 للدورات القصيرة
Bethlehem,BH369,خصم 8%
Bethlehem,BH370,خصم الأصحاب
Bethlehem,BH371,دورة لغة انجليزية
Bethlehem,BH372,خصم 5%
Bethlehem,BH373,خصم المسجلين المبكرين 10%
Bethlehem,BH374,جلسة تصوير
Bethlehem,BH376,سحب على الجائزة الكبرى
Bethlehem,BH377,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH378,هدية فورية
Bethlehem,BH379,دورة لغة انجليزية
Bethlehem,BH380,2 بسعر 1 للدورات القصيرة
Bethlehem,BH381,خصم 8%
Bethlehem,BH382,خصم 8%
Bethlehem,BH383,خصم 5%
Bethlehem,BH384,2 بسعر 1 للدورات القصيرة
Bethlehem,BH385,جلسة تصوير
Bethlehem,BH386,هدية فورية
Bethlehem,BH387,خصم 8%
Bethlehem,BH388,خدمة تجميل
Bethlehem,BH389,2 بسعر 1 للدورات القصيرة
Bethlehem,BH390,خصم الأصحاب
Bethlehem,BH392,خصم 5%
Bethlehem,BH393,خصم 5%
Bethlehem,BH394,هدية فورية
Bethlehem,BH395,خصم المسجلين المبكرين 10%
Bethlehem,BH396,خصم الأصحاب
Bethlehem,BH397,هدية فورية
Bethlehem,BH398,خصم المسجلين المبكرين 10%
Bethlehem,BH399,خصم المسجلين المبكرين 10%
Bethlehem,BH400,خصم المسجلين المبكرين 10%
Bethlehem,BH401,خصم 5%
Bethlehem,BH402,خصم الأصحاب
Bethlehem,BH403,هدية فورية
Bethlehem,BH404,خصم 5%
Bethlehem,BH405,هدية فورية
Bethlehem,BH406,خصم المسجلين المبكرين 10%
Bethlehem,BH407,خصم الأصحاب
Bethlehem,BH408,جلسة تصوير
Bethlehem,BH409,خصم المسجلين المبكرين 10%
Bethlehem,BH411,خصم 8%
Bethlehem,BH412,جلسة تصوير
Bethlehem,BH413,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH414,هدية فورية
Bethlehem,BH416,خصم المسجلين المبكرين 10%
Bethlehem,BH417,خصم 8%
Bethlehem,BH418,خصم الأصحاب
Bethlehem,BH419,خصم الأصحاب
Bethlehem,BH420,خدمة تجميل
Bethlehem,BH421,سحب على الجائزة الكبرى
Bethlehem,BH422,خصم 5%
Bethlehem,BH423,خصم المسجلين المبكرين 10%
Bethlehem,BH424,خصم الأصحاب
Bethlehem,BH426,دورة مهارات الحاسوب
Bethlehem,BH427,خصم الأصحاب
Bethlehem,BH428,2 بسعر 1 للدورات القصيرة
Bethlehem,BH429,خصم 5%
Bethlehem,BH430,خصم الأصحاب
Bethlehem,BH432,خصم الأصحاب
Bethlehem,BH433,2 بسعر 1 للدورات القصيرة
Bethlehem,BH434,خصم 8%
Bethlehem,BH435,دورة مهارات الحاسوب
Bethlehem,BH436,خصم 5%
Bethlehem,BH437,2 بسعر 1 للدورات القصيرة
Bethlehem,BH438,خصم المسجلين المبكرين 10%
Bethlehem,BH439,خصم المسجلين المبكرين 10%
Bethlehem,BH440,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH441,خصم 8%
Bethlehem,BH442,خصم المسجلين المبكرين 10%
Bethlehem,BH443,دورة لغة انجليزية
Bethlehem,BH444,خدمة تجميل
Bethlehem,BH445,سحب على الجائزة الكبرى
Bethlehem,BH446,2 بسعر 1 للدورات القصيرة
Bethlehem,BH447,خصم 5%
Bethlehem,BH448,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH449,خصم 5%
Bethlehem,BH450,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH451,خصم الأصحاب
Bethlehem,BH452,خصم الأصحاب
Bethlehem,BH453,خصم 8%
Bethlehem,BH454,هدية فورية
Bethlehem,BH455,خصم المسجلين المبكرين 10%
Bethlehem,BH456,خدمة تجميل
Bethlehem,BH457,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH458,خصم المسجلين المبكرين 10%
Bethlehem,BH459,خصم 8%
Bethlehem,BH460,2 بسعر 1 للدورات القصيرة
Bethlehem,BH461,خدمة تجميل
Bethlehem,BH462,هدية فورية
Bethlehem,BH463,خصم المسجلين المبكرين 10%
Bethlehem,BH464,خصم الأصحاب
Bethlehem,BH466,دورة لغة انجليزية
Bethlehem,BH467,دورة مهارات الحاسوب
Bethlehem,BH468,دورة لغة انجليزية
Bethlehem,BH469,2 بسعر 1 للدورات القصيرة
Bethlehem,BH470,خصم الأصحاب
Bethlehem,BH472,هدية فورية
Bethlehem,BH473,خصم المسجلين المبكرين 10%
Bethlehem,BH474,خصم 8%
Bethlehem,BH475,خصم المسجلين المبكرين 10%
Bethlehem,BH476,خصم الأصحاب
Bethlehem,BH477,خصم 8%
Bethlehem,BH478,خصم 5%
Bethlehem,BH479,دورة لغة انجليزية
Bethlehem,BH480,خصم 8%
Bethlehem,BH481,خصم المسجلين المبكرين 10%
Bethlehem,BH482,خدمة تجميل
Bethlehem,BH483,خصم 8%
Bethlehem,BH484,جلسة تصوير
Bethlehem,BH486,خصم الأصحاب
Bethlehem,BH487,دورة لغة انجليزية
Bethlehem,BH488,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH489,دورة مهارات الحاسوب
Bethlehem,BH490,خصم 5%
Bethlehem,BH491,خصم 5%
Bethlehem,BH492,خدمة تجميل
Bethlehem,BH493,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH494,خصم 8%
Bethlehem,BH495,خصم المسجلين المبكرين 10%
Bethlehem,BH496,خصم المسجلين المبكرين 10%
Bethlehem,BH497,خصم 5%
Bethlehem,BH498,هدية فورية
Bethlehem,BH499,جلسة تصوير
Bethlehem,BH500,خصم الأصحاب
Bethlehem,BH501,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH502,خصم 5%
Bethlehem,BH503,سحب على الجائزة الكبرى
Bethlehem,BH504,2 بسعر 1 للدورات القصيرة
Bethlehem,BH505,سحب على الجائزة الكبرى
Bethlehem,BH506,دورة لغة انجليزية
Bethlehem,BH507,خصم الأصحاب
Bethlehem,BH508,2 بسعر 1 للدورات القصيرة
Bethlehem,BH509,دورة لغة انجليزية
Bethlehem,BH511,خصم الأصحاب
Bethlehem,BH512,خصم 5%
Bethlehem,BH513,خصم المسجلين المبكرين 10%
Bethlehem,BH514,2 بسعر 1 للدورات القصيرة
Bethlehem,BH515,خصم 5%
Bethlehem,BH516,خصم الأصحاب
Bethlehem,BH517,خصم 5%
Bethlehem,BH518,خصم 8%
Bethlehem,BH521,2 بسعر 1 للدورات القصيرة
Bethlehem,BH522,2 بسعر 1 للدورات القصيرة
Bethlehem,BH523,2 بسعر 1 للدورات القصيرة
Bethlehem,BH524,خصم الأصحاب
Bethlehem,BH525,سحب على الجائزة الكبرى
Bethlehem,BH526,دورة لغة انجليزية
Bethlehem,BH527,خصم 8%
Bethlehem,BH528,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH529,خصم المسجلين المبكرين 10%
Bethlehem,BH530,خصم المسجلين المبكرين 10%
Bethlehem,BH531,خصم 8%
Bethlehem,BH532,هدية فورية
Bethlehem,BH533,خصم 5%
Bethlehem,BH535,خدمة تجميل
Bethlehem,BH536,2 بسعر 1 للدورات القصيرة
Bethlehem,BH537,2 بسعر 1 للدورات القصيرة
Bethlehem,BH540,خصم المسجلين المبكرين 10%
Bethlehem,BH541,خصم المسجلين المبكرين 10%
Bethlehem,BH542,سحب على الجائزة الكبرى
Bethlehem,BH544,خصم الأصحاب
Bethlehem,BH545,خصم 8%
Bethlehem,BH546,دورة لغة انجليزية
Bethlehem,BH548,خصم 8%
Bethlehem,BH549,دورة مهارات الحاسوب
Bethlehem,BH550,هدية فورية
Bethlehem,BH552,خصم 8%
Bethlehem,BH553,خصم الأصحاب
Bethlehem,BH554,جلسة تصوير
Bethlehem,BH555,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH556,خصم 5%
Bethlehem,BH557,خصم المسجلين المبكرين 10%
Bethlehem,BH558,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH559,خدمة تجميل
Bethlehem,BH560,خصم الأصحاب
Bethlehem,BH562,دورة مهارات الحاسوب
Bethlehem,BH563,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH564,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH565,جلسة تصوير
Bethlehem,BH566,دورة مهارات الحاسوب
Bethlehem,BH567,خصم المسجلين المبكرين 10%
Bethlehem,BH568,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH569,جلسة تصوير
Bethlehem,BH571,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH572,2 بسعر 1 للدورات القصيرة
Bethlehem,BH573,دورة مهارات الحاسوب
Bethlehem,BH574,خصم الأصحاب
Bethlehem,BH575,هدية فورية
Bethlehem,BH576,خصم الأصحاب
Bethlehem,BH577,سحب على الجائزة الكبرى
Bethlehem,BH578,خصم الأصحاب
Bethlehem,BH579,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH580,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH581,خدمة تجميل
Bethlehem,BH582,جلسة تصوير
Bethlehem,BH584,2 بسعر 1 للدورات القصيرة
Bethlehem,BH585,دورة مهارات الحاسوب
Bethlehem,BH586,سحب على الجائزة الكبرى
Bethlehem,BH587,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH588,2 بسعر 1 للدورات القصيرة
Bethlehem,BH589,سحب على الجائزة الكبرى
Bethlehem,BH590,خصم 8%
Bethlehem,BH591,خصم 5%
Bethlehem,BH592,جلسة تصوير
Bethlehem,BH593,خصم المسجلين المبكرين 10%
Bethlehem,BH594,2 بسعر 1 للدورات القصيرة
Bethlehem,BH595,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH596,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH597,سحب على الجائزة الكبرى
Bethlehem,BH598,خصم 8%
Bethlehem,BH599,هدية فورية
Bethlehem,BH600,خصم 8%
Bethlehem,BH601,سحب على الجائزة الكبرى
Bethlehem,BH602,خصم المسجلين المبكرين 10%
Bethlehem,BH603,دورة مهارات الحاسوب
Bethlehem,BH604,خصم 8%
Bethlehem,BH606,دورة مهارات الحاسوب
Bethlehem,BH607,دورة لغة انجليزية
Bethlehem,BH608,خصم 8%
Bethlehem,BH609,دورة مهارات الحاسوب
Bethlehem,BH610,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH611,2 بسعر 1 للدورات القصيرة
Bethlehem,BH612,جلسة تصوير
Bethlehem,BH613,خصم 8%
Bethlehem,BH614,خصم الأصحاب
Bethlehem,BH615,جلسة تصوير
Bethlehem,BH616,خصم المسجلين المبكرين 10%
Bethlehem,BH617,هدية فورية
Bethlehem,BH618,سحب على الجائزة الكبرى
Bethlehem,BH619,دورة مهارات الحاسوب
Bethlehem,BH620,خدمة تجميل
Bethlehem,BH621,جلسة تصوير
Bethlehem,BH622,دورة مهارات الحاسوب
Bethlehem,BH623,خصم الأصحاب
Bethlehem,BH624,جلسة تصوير
Bethlehem,BH625,خصم 8%
Bethlehem,BH626,سحب على الجائزة الكبرى
Bethlehem,BH627,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH628,دورة لغة انجليزية
Bethlehem,BH629,خصم 5%
Bethlehem,BH630,سحب على الجائزة الكبرى
Bethlehem,BH631,خصم 5%
Bethlehem,BH632,2 بسعر 1 للدورات القصيرة
Bethlehem,BH633,دورة مهارات الحاسوب
Bethlehem,BH634,خصم 5%
Bethlehem,BH636,2 بسعر 1 للدورات القصيرة
Bethlehem,BH637,خصم 8%
Bethlehem,BH638,2 بسعر 1 للدورات القصيرة
Bethlehem,BH640,خدمة تجميل
Bethlehem,BH641,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH642,خصم 5%
Bethlehem,BH643,هدية فورية
Bethlehem,BH644,هدية فورية
Bethlehem,BH645,هدية فورية
Bethlehem,BH646,2 بسعر 1 للدورات القصيرة
Bethlehem,BH647,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH649,دورة مهارات الحاسوب
Bethlehem,BH650,لقاء مجاني لبرنامج من اختيارك
Bethlehem,BH651,2 بسعر 1 للدورات القصيرة
